,CantonCode,MunicipalityCode
1193,VS,6009
1194,NW,1510
1195,AG,4195
1196,SG,3313
1197,BE,498
1198,BE,925
1199,AG,4027
1200,NE,6455
1201,ZH,176
1202,SG,3212
1203,BE,690
1204,ZH,160
1205,FR,2238
1206,BE,321
1207,TI,5193
1208,BE,955
1209,BL,2769
1210,VD,5891
1211,VD,5484
1212,AG,4200
1213,BL,2854
1214,BE,663
1215,BE,435
1216,BE,437
1217,VS,6076
1218,GR,3986
1219,UR,1210
1220,BE,724
1221,BE,405
1222,BE,884
1223,FR,2102
1224,BE,989
1225,SO,2617
1226,FR,2336
1227,TG,4571
1228,BE,784
1229,BL,2786
1230,GR,3543
1231,BL,2772
1232,VD,5491
1233,SO,2475
1234,VD,5858
1235,SG,3255
1236,UR,1209
1237,VS,6173
1238,VD,5857
1239,VD,5745
1240,BE,904
1241,ZH,221
1242,SO,2428
1243,JU,6783
1244,VS,6118
1245,FR,2177
1246,VS,6131
1247,VD,5914
1248,SG,3315
1249,GR,3746
1250,AG,4304
1251,SZ,1347
1252,SG,3204
1253,TG,4746
1254,VS,6084
1255,SO,2579
1256,VS,6077
1257,SO,2426
1258,JU,6730
1259,ZH,87
1260,SG,3298
1261,LU,1025
1262,FR,2235
1263,VD,5456
1264,SZ,1342
1265,VD,5404
1266,AG,4080
1267,BL,2845
1268,LU,1057
1269,VD,5871
1270,VD,5816
1271,SO,2612
1272,TI,5260
1273,TI,5210
1274,JU,6710
1275,BL,2888
1276,AG,4124
1277,BE,590
1278,TG,4621
1279,BE,867
1280,GE,6610
1281,ZH,102
1282,VD,5639
1283,BE,979
1284,GE,6616
1285,BL,2763
1286,AR,3023
1287,SG,3273
1288,AR,3035
1289,BE,575
1290,VS,6113
1291,SO,2495
1292,LU,1037
1293,AG,4282
1294,AG,4008
1295,VS,6198
1296,FR,2043
1297,VD,5882
1298,BE,496
1299,ZH,294
1300,BE,756
1301,GE,6626
1302,BE,407
1303,VD,5435
1304,BL,2825
1305,TI,5227
1306,BE,954
1307,GE,6613
1308,AG,4141
1309,ZH,173
1310,GR,3668
1311,UR,1206
1312,ZH,197
1313,SG,3236
1314,SG,3276
1315,FR,2155
1316,BE,573
1317,VS,6297
1318,BL,2884
1319,LU,1005
1320,BE,540
1321,TG,4590
1322,VS,6253
1323,TI,5138
1324,BE,332
1325,ZH,9
1326,BE,408
1327,VD,5584
1328,AG,4033
1329,ZH,231
1330,ZH,10
1331,ZG,1708
1332,AG,4276
1333,ZH,84
1334,BE,901
1335,SO,2583
1336,TG,4696
1337,TG,4486
1338,BL,2849
1339,AG,4139
1340,ZH,114
1341,BE,499
1342,BE,420
1343,GE,6614
1344,AG,4207
1345,VD,5713
1346,ZH,249
1347,OW,1406
1348,VD,5474
1349,ZH,226
1350,BL,2822
