,Unnamed: 0,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay_en,AccidentHour
10556,10556,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt433,Minor road,2608769,1228388,SO,2534,2011,7,July,Friday,14.0
185639,185639,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2665786,1206985,LU,1058,2021,6,June,Thursday,19.0
21660,21660,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,False,False,rt433,Minor road,2736970,1252971,SG,3443,2012,3,March,Sunday,19.0
71475,71475,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2664976,1213477,LU,1024,2014,12,December,Monday,13.0
204556,204556,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2602303,1203934,BE,362,2022,7,July,Saturday,12.0
35858,35858,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt433,Minor road,2683592,1246865,ZH,261,2012,11,November,Wednesday,14.0
138038,138038,at4,Accident when turning-into main road,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2502071,1114453,GE,6645,2018,9,September,Monday,16.0
8512,8512,at9,Accident involving animal(s),as2,Accident with severe injuries,False,True,False,rt439,Other,2613565,1177374,BE,942,2011,6,June,Wednesday,10.0
190397,190397,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2684804,1239148,ZH,141,2021,9,September,Wednesday,14.0
161657,161657,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2654239,1259012,AG,4124,2020,1,January,Sunday,10.0
76039,76039,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,Minor road,2682585,1247198,ZH,261,2015,4,April,Wednesday,14.0
82513,82513,at9,Accident involving animal(s),as2,Accident with severe injuries,False,False,True,rt432,Principal road,2651475,1259495,AG,4124,2015,7,July,Thursday,23.0
26785,26785,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt433,Minor road,2726523,1256238,SG,3408,2012,6,June,Monday,8.0
138649,138649,at6,Accident with head-on collision,as3,Accident with light injuries,False,False,True,rt433,Minor road,2654519,1216638,LU,1098,2018,9,September,Wednesday,17.0
43136,43136,at3,Accident when turning left or right,as2,Accident with severe injuries,False,True,False,rt433,Minor road,2624176,1258067,BL,2828,2013,6,June,Saturday,10.0
7634,7634,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2713744,1272705,TG,4841,2011,6,June,Monday,20.0
587,587,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2683223,1254156,ZH,97,2011,1,January,Monday,0.0
57667,57667,at7,Accident when parking,as3,Accident with light injuries,False,False,False,rt439,Other,2687945,1239434,ZH,151,2014,3,March,Wednesday,17.0
195408,195408,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt432,Principal road,2496125,1115199,GE,6618,2021,12,December,Tuesday,18.0
128186,128186,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt433,Minor road,2731925,1276266,TG,4683,2018,3,March,Friday,20.0
78702,78702,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2539564,1154822,VD,5586,2015,5,May,Saturday,5.0
69974,69974,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2733563,1176171,GR,3618,2014,11,November,Wednesday,16.0
116296,116296,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt432,Principal road,2685943,1245340,ZH,261,2017,6,June,Thursday,15.0
182163,182163,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,Principal road,2694171,1273018,ZH,33,2021,4,April,Friday,18.0
197170,197170,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,Minor road,2682951,1247512,ZH,261,2022,2,February,Thursday,9.0
86514,86514,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,True,True,rt432,Principal road,2499792,1118063,GE,6621,2015,10,October,Tuesday,8.0
177275,177275,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2678517,1251002,ZH,261,2020,12,December,Tuesday,17.0
28807,28807,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,Principal road,2704815,1161020,GR,3983,2012,7,July,Sunday,18.0
177335,177335,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2496356,1115147,GE,6631,2020,12,December,Thursday,11.0
45691,45691,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2536684,1154414,VD,5586,2013,7,July,Friday,4.0
7596,7596,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2619587,1236241,BE,981,2011,6,June,Monday,8.0
184672,184672,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt433,Minor road,2693798,1239436,ZH,192,2021,6,June,Friday,11.0
120347,120347,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2561192,1125321,VS,6152,2017,9,September,Thursday,7.0
146881,146881,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2604226,1226295,SO,2464,2019,3,March,Thursday,16.0
210673,210673,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,Principal road,2692096,1178071,UR,1209,2022,10,October,Sunday,18.0
100959,100959,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2621126,1236182,SO,2407,2016,8,August,Friday,13.0
48302,48302,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2800252,1143577,GR,3561,2013,8,August,Tuesday,6.0
34202,34202,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,False,rt431,Expressway,2630050,1168386,BE,575,2012,10,October,Thursday,8.0
118208,118208,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt432,Principal road,2700039,1203560,SZ,1367,2017,8,August,Saturday,11.0
146084,146084,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,True,rt433,Minor road,2499920,1117121,GE,6621,2019,3,March,Sunday,1.0
129847,129847,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2683673,1251227,ZH,261,2018,4,April,Sunday,17.0
139721,139721,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2692799,1248993,ZH,199,2018,10,October,Tuesday,12.0
86730,86730,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,True,rt432,Principal road,2497545,1113561,GE,6633,2015,10,October,Sunday,16.0
77351,77351,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2623663,1212053,BE,951,2015,5,May,Sunday,1.0
203919,203919,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,Principal road,2566035,1181620,FR,2237,2022,6,June,Thursday,8.0
186163,186163,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,True,rt433,Minor road,2709765,1237291,ZH,113,2021,7,July,Friday,20.0
72283,72283,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt431,Expressway,2610778,1184230,BE,611,2014,12,December,Saturday,10.0
213850,213850,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,Principal road,2742803,1252643,SG,3203,2022,12,December,Friday,7.0
196464,196464,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,Minor road,2585437,1220708,BE,371,2022,1,January,Friday,17.0
126967,126967,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt433,Minor road,2666837,1240553,AG,4229,2018,2,February,Saturday,1.0
211601,211601,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt432,Principal road,2680870,1252357,ZH,261,2022,11,November,Wednesday,16.0
1091,1091,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2768715,1205363,GR,3961,2011,1,January,Saturday,18.0
85540,85540,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,Principal road,2666179,1212241,LU,1061,2015,9,September,Wednesday,8.0
117400,117400,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,False,False,rt433,Minor road,2613712,1178199,BE,942,2017,7,July,Tuesday,11.0
68170,68170,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2557159,1181857,FR,2027,2014,10,October,Wednesday,11.0
4990,4990,at3,Accident when turning left or right,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2713498,1095113,TI,5141,2011,4,April,Saturday,16.0
71391,71391,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt432,Principal road,2674772,1250589,ZH,243,2014,12,December,Friday,18.0
74853,74853,at3,Accident when turning left or right,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2682449,1248072,ZH,261,2015,3,March,Monday,20.0
84542,84542,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2685585,1211699,SZ,1362,2015,9,September,Saturday,11.0
51608,51608,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2723174,1251421,SG,3392,2013,10,October,Saturday,12.0
45956,45956,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2724391,1241355,SG,3379,2013,7,July,Monday,18.0
47602,47602,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt433,Minor road,2722711,1212123,GL,1632,2013,8,August,Thursday,18.0
88219,88219,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt433,Minor road,2563064,1129771,VD,5401,2015,11,November,Tuesday,17.0
73045,73045,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,True,rt433,Minor road,2539977,1151812,VD,5590,2015,1,January,Tuesday,9.0
98764,98764,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,Principal road,2711444,1231360,SG,3340,2016,7,July,Friday,11.0
126514,126514,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2538044,1153831,VD,5586,2018,1,January,Sunday,15.0
97138,97138,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,Principal road,2726149,1259201,SG,3426,2016,6,June,Saturday,19.0
97259,97259,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2700649,1228868,SZ,1322,2016,6,June,Tuesday,17.0
208941,208941,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,True,False,rt433,Minor road,2693327,1272525,ZH,291,2022,9,September,Wednesday,7.0
73442,73442,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2608327,1211875,BE,411,2015,1,January,Friday,15.0
149098,149098,at00,Other,as2,Accident with severe injuries,False,False,False,rt433,Minor road,2680676,1248211,ZH,261,2019,5,May,Friday,15.0
151715,151715,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt432,Principal road,2500774,1123139,GE,6606,2019,6,June,Friday,15.0
68496,68496,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2648822,1246525,AG,4012,2014,10,October,Tuesday,22.0
38398,38398,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt433,Minor road,2620866,1263621,BL,2831,2013,2,February,Monday,8.0
207590,207590,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt433,Minor road,2495255,1120531,GE,6630,2022,8,August,Tuesday,23.0
153882,153882,at6,Accident with head-on collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2721935,1116895,TI,5002,2019,8,August,Monday,16.0
111909,111909,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2687338,1246069,ZH,261,2017,4,April,Wednesday,17.0
970,970,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,Principal road,2666174,1211403,LU,1061,2011,1,January,Wednesday,15.0
195899,195899,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,True,False,rt432,Principal road,2580146,1193469,FR,2262,2022,1,January,Tuesday,12.0
61156,61156,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2562861,1121965,VS,6153,2014,5,May,Tuesday,14.0
53303,53303,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt433,Minor road,2538883,1152061,VD,5586,2013,11,November,Friday,17.0
18933,18933,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt432,Principal road,2685580,1245878,ZH,261,2011,12,December,Friday,5.0
145509,145509,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2588034,1115931,VS,6024,2019,2,February,Saturday,6.0
151163,151163,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2683437,1248640,ZH,261,2019,6,June,Thursday,15.0
158104,158104,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,True,False,rt433,Minor road,2586039,1210137,BE,302,2019,10,October,Friday,22.0
14393,14393,at6,Accident with head-on collision,as3,Accident with light injuries,False,False,True,rt432,Principal road,2688443,1171880,UR,1220,2011,9,September,Friday,15.0
145418,145418,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt432,Principal road,2756505,1260745,SG,3216,2019,2,February,Wednesday,17.0
91161,91161,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2586559,1189625,FR,2305,2016,1,January,Wednesday,10.0
97031,97031,at5,Accident when crossing the lane(s),as2,Accident with severe injuries,False,True,False,rt433,Minor road,2599067,1199596,BE,351,2016,6,June,Friday,11.0
62083,62083,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2678348,1249575,ZH,261,2014,6,June,Thursday,12.0
163146,163146,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt431,Expressway,2751544,1181079,GR,3637,2020,2,February,Tuesday,16.0
195363,195363,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt439,Other,2526800,1151057,VD,5642,2021,12,December,Monday,16.0
99992,99992,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2582627,1243407,JU,6729,2016,7,July,Sunday,17.0
128881,128881,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,Minor road,2697384,1261879,ZH,230,2018,4,April,Wednesday,21.0
59774,59774,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt432,Principal road,2735787,1262194,TG,4471,2014,5,May,Friday,10.0
34368,34368,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt433,Minor road,2724114,1180659,GR,3981,2012,10,October,Sunday,7.0
125812,125812,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2656715,1232405,AG,4139,2018,1,January,Thursday,10.0
